time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:23.059,0.04,-0.38,9.86,-0.0625,0.0,0.125,-16.5,9.6875,-46.0
2021-06-17T15:56:23.071,0.05,-0.4,9.83,-0.125,0.0625,-0.0625,-16.5,9.6875,-46.0
2021-06-17T15:56:23.084,0.05,-0.4,9.87,-0.0625,0.125,0.125,-16.5,9.6875,-46.0
2021-06-17T15:56:23.098,0.04,-0.41,9.85,-0.0625,-0.0625,-0.125,-16.5,9.6875,-46.0
2021-06-17T15:56:23.111,0.07,-0.39,9.85,0.125,-0.0625,0.0,-16.1875,8.875,-45.25
2021-06-17T15:56:23.123,0.06,-0.39,9.83,0.0625,-0.0625,0.0,-16.1875,8.875,-45.25
2021-06-17T15:56:23.136,0.07,-0.01,-0.01,-0.0625,0.0,0.0,-0.0625,-0.0625,-0.0625
2021-06-17T15:56:23.149,0.04,-0.41,9.84,0.0,-0.1875,0.0,-16.1875,8.875,-45.25
2021-06-17T15:56:23.162,0.06,-0.4,9.82,-0.0625,0.0625,0.0625,-16.1875,8.1875,-45.25
2021-06-17T15:56:23.175,0.05,-0.41,9.83,-0.125,-0.125,0.0,-16.1875,8.1875,-45.25
2021-06-17T15:56:23.209,0.07,-0.4,9.84,0.0,0.0625,-0.0625,-17.25,8.875,-44.375
2021-06-17T15:56:23.222,0.06,-0.39,9.82,-0.125,-0.0625,0.0,-17.25,8.875,-44.375
2021-06-17T15:56:23.235,0.05,-0.42,9.87,0.0,0.0,0.125,-17.25,8.875,-44.375
2021-06-17T15:56:23.248,0.04,-0.42,9.87,0.0,0.0625,0.0,-15.75,8.875,-45.25
2021-06-17T15:56:23.261,0.05,-0.39,9.84,0.0625,0.0625,0.0,-15.75,8.875,-45.25
2021-06-17T15:56:23.274,0.06,-0.41,9.84,-0.125,-0.125,0.0,-15.75,8.875,-45.25
2021-06-17T15:56:23.286,0.06,-0.4,9.85,0.0625,-0.0625,0.0625,-15.75,8.875,-45.25
2021-06-17T15:56:23.299,0.07,-0.41,9.85,0.0625,-0.125,-0.0625,-16.5,9.25,-45.5625
2021-06-17T15:56:23.312,0.05,-0.41,9.85,-0.0625,-0.1875,0.1875,-16.5,9.25,-45.5625
2021-06-17T15:56:23.325,0.05,-0.39,9.84,0.0,-0.0625,0.0625,-16.5,9.25,-45.5625
2021-06-17T15:56:23.338,0.04,-0.4,9.86,0.0625,0.0625,0.125,-16.5,9.25,-45.5625
2021-06-17T15:56:23.351,0.04,-0.38,9.87,0.0625,0.0,0.0,-16.5,9.25,-46.0
2021-06-17T15:56:23.363,0.06,-0.39,9.82,0.1875,0.0,0.0,-16.5,9.25,-46.0
2021-06-17T15:56:23.376,0.04,-0.39,9.84,0.0,-0.125,0.0625,-16.5,9.25,-46.0
2021-06-17T15:56:23.389,0.03,-0.41,9.83,0.0625,0.0625,0.0625,-16.5,9.25,-46.0
